e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20
10071.8,10071.6,10184.4,10135,10124.7,10189.8,10276.1,10261.8,199.9,296.9,278.9,318.4,346.8,10529.4,10618.1,10448.6,329.9,290.1,474.6,271.9
10367.1,272.5,146.9,52,166.3,200.5,173.4,148.6,183.4,193,202.9,195.7,561.5,196.9,220.8,234,160.8,120.3,117.8,82.7
10053.6,10062.5,10054.9,10039.1,10049.2,10173.1,10130.7,10087.2,10074.7,112.8,174.4,175.2,326,439.9,442.3,259.6,187.8,181.9,329.5,406.2
10120.5,10081.6,10058.5,10081.4,73.2,46.2,10077.2,10100.4,10066.8,10080.4,10286.9,218.2,163.1,54.9,45.4,45.2,43,42,47.2,93.3
10003.7,10009.9,10009.4,10011.5,10007.7,10012.6,10012.3,10159,10053.9,10046.6,10016,10015.1,10012.3,10013.1,10012.7,10015,10027,10012.9,10018.9,10245.4
10031.8,10034.3,10027.9,10030.8,10038.1,10091.7,10143.7,10088.2,10092.5,10220,10216,204.9,267,352.9,10313.4,10324.3,441.8,219.6,199.1,134
10087,10105.3,10098.6,10113,10116.3,10134.7,10131.5,10104.1,10114.7,10089.2,10103.8,10115.4,10198.3,10352.8,10352.5,10315.5,10324,10467.7,10520.4,491.5
10041.9,10105.5,10065.3,10029.2,10032.7,10032.4,10041.8,10046.7,10038.7,10041,10051.7,10033.7,10024.3,10021.5,10019.8,10162.6,10246.7,128.2,164.1,195.7
10105.7,10092.9,71.1,52.4,51,52.6,51.6,299.8,266.9,340.8,285.6,328.4,355.9,169.3,293.1,365.7,284.5,260.6,71,113.8
10158.8,10144,10137,10120.5,10109.6,10087.8,10087.2,10123,226,413.8,499.9,473.7,313.7,284.4,195.3,191.2,260.9,294.2,442.9,380.4
73.3,62.4,63.3,31.1,29.4,27.1,25.1,26.3,28.1,204.4,275.9,325.7,374.8,290.6,221.8,300.4,386.7,169,173.5,196.6
